Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
1,Poland,Cracow,dhunanyan_0,Toyota,Sienna,3456,2017,Grey,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fdhunanyan_0?alt=media&token=bbbd6420-7ff7-482b-8429-4c2a2021786b,550,#Toyota #ToyotaSiena #Toyota2017,5/2/2022,5/28/2022,FALSE,FALSE,dhunanyan,2
2,Poland,Cracow,dhunanyan_1,Audi,A8,2995,2019,Black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fdhunanyan_1?alt=media&token=00b12391-f54b-47f2-97ab-e8a018e7f0ac,950,#AudiA8 #AUDI2019 #AudiBlack #2019 #Audi #A8 #Black,5/2/2022,6/4/2022,FALSE,FALSE,dhunanyan,2
3,Poladn,Cracow,dhunanyan_2,Ferrari,California,4297,2017,Red,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fdhunanyan_2?alt=media&token=2fbf1500-a5ae-4fd4-b4b6-70d512f9539a,8940,#Ferrari #RedFerrari #Ferrari2017 #FerrariCalifornia,6/1/2022,6/1/2022,FALSE,FALSE,dhunanyan,2
4,Poland,Cracow,dhunanyan_3,Dodge,Charger,5654,2017,Black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fdhunanyan_3?alt=media&token=281aa24d-e395-4799-ac9d-fde325770a92,1050,#DodgeCharger #Dodge #Dodge2019 #2019,4/24/2022,6/4/2022,FALSE,FALSE,dhunanyan,2
5,Poland,Cracow,dhunanyan_4,Mercedes-Benz,CLS AMG 53,2999,2019,Black,Hybrid,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fdhunanyan_4?alt=media&token=c59105c8-17b0-4fae-a016-329cccbeb876,2580,#Mercedes-Benz #CLS #AMG53 #MercBenz,5/1/2022,6/4/2022,FALSE,FALSE,dhunanyan,2
6,Poland,Gdynia,jankowalski_0,Maserati,Ghibli Standard,2979,2017,White,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fjankowalski_0?alt=media&token=14075d3d-c697-43dd-b86d-d5c1d7f6a210,1650,#Maserati #MaseratiWhite #Maserati2017 #MaseratiGhibli,6/12/2022,6/30/2022,FALSE,FALSE,jankowalski,3
7,Poland,Gdynia,jankowalski_1,BMW,X5,2979,2018,Black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fjankowalski_1?alt=media&token=15357d67-d2a7-4b7c-a68c-01f2d23f79e6,1170,#BMW #BMW-X5 #XDrive35i #BMW-X5-2018,6/26/2022,7/20/2022,FALSE,FALSE,jankowalski,3
8,Poland,Gdynia,jankowalski_2,Porsche,Cayman PDK,2706,2015,Yellow,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fjankowalski_2?alt=media&token=814c7d11-b562-400f-ac7b-fc74f0df44c2,1580,#Porsche #PorscheCayman #PorscheYellow #Porsche2015,7/10/2022,8/6/2022,FALSE,FALSE,jankowalski,3
9,Poland,Limanowa,marekgurgul_0,Ford,Explorer,2261,2019,Red,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmarekgurgul_0.png?alt=media&token=f05af9f0-8a2f-4a6e-8ac3-821a0f3e2bc1,1900,#Ford #Ford2019 #2019,5/2/2022,5/29/2022,FALSE,FALSE,marekgurgul,4
10,Poland,Limanowa,marekgurgul_1,Tesla,Model S,brak,2018,Blue,Electric,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmarekgurgul_1.png?alt=media&token=3cfb1e8a-d86b-48e3-8174-8370eae82e22,4200,#Tesla #Tesla2018 #2018,6/5/2022,6/6/2022,FALSE,FALSE,marekgurgul,4
11,Poland,Cracow,oliwiernowak_0,Lexus,LS,4608,2014,Black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Foliwiernowak_0.png?alt=media&token=435b7417-b3cf-4646-8393-28ff5c81e9e6,1400,#Lexus #Lexus2014 #2014,5/15/2022,6/14/2022,FALSE,FALSE,oliwiernowak,5
12,Poland,Cracow,oliwiernowak_1,BMW,X5,2979,2017,Black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Foliwiernowak_1.png?alt=media&token=450b1092-f15a-4a7f-860b-ba33d7d39011,1600,#BMW #BMW X5 #X5 #2017,5/13/2022,6/15/2022,FALSE,FALSE,oliwiernowak,5
13,Poland,Cracow,oliwiernowak_2,Dodge,RAM,2989,2014,Black,Diesel,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Foliwiernowak_2.png?alt=media&token=91db8b54-39b7-483d-89a2-cf93e4bef25a,1800,#Dodge #Dodge2014,5/8/2022,7/5/2022,FALSE,FALSE,oliwiernowak,5
14,Poland,Lublin,adamdudek_0,Dodge,Caliber,1968,2006,Black,Diesel,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fadamdudek_0.png?alt=media&token=7f514952-b053-43c8-a404-23ef73a85990,1800,#Dodge #DodgeCaliber #2006,5/8/2022,6/6/2022,FALSE,FALSE,adamdudek,6
15,Poland,Lublin,adamdudek_1,Mercedes-Benz,GL,2996,2016,White,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fadamdudek_1.png?alt=media&token=98f4cb58-3ea2-4e0c-8139-e12718250aca,2100,#Mercedes-Benz #GL #2016,5/14/2022,6/14/2022,FALSE,FALSE,adamdudek,6
16,Poland,Limanowa,kamilhanzel_0,Audi,Q5,1984,2017,White,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fkamilhanzel_0.png?alt=media&token=f50fbb17-042f-454b-ab00-f110e0b26f1d,1450,#Audi #AudiQ5 #2017,5/16/2022,6/19/2022,FALSE,FALSE,kamilhanzel,7
17,Poland,Limanowa,kamilhanzel_1,BMW,XDrive,2993,2010,Grey,Diesel,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fkamilhanzel_1.png?alt=media&token=63a6e813-a7cb-4f9f-8e9d-75d31cc78821,1900,#BMW #XDrive #2010,5/5/2022,7/1/2022,FALSE,FALSE,kamilhanzel,7
18,Poland,Limanowa,kamilhanzel_2,BMW,Seria 7,4395,2017,Black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fkamilhanzel_2.png?alt=media&token=4a505df2-a230-49fb-a7d8-462357a2af8a,2300,#BMW #BMW2017,5/19/2022,6/29/2022,FALSE,FALSE,kamilhanzel,7
19,Poland,Tarnów,nikodemb_0,Skoda,Superb,1984,2017,White,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fnikodemb_0.png?alt=media&token=c2713df2-d0de-4d8f-b64c-050238308256,1400,#Skoda #Superb #2017,5/13/2022,7/1/2022,FALSE,FALSE,nikodemb,8
20,Poland,Tarnów,mateuszpiotrowski_0,MINI,Cooper,1998,2019,Red,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmateuszpiotrowski_0.png?alt=media&token=795da77c-d38e-40a2-bd15-1fa0f0aa89b4,1200,#MINI #Cooper #2019,5/19/2022,6/30/2022,FALSE,FALSE,mateuszpiotrowski,9
21,Poland,Szczecin,paulinaduda_0,Audi,A8,3993,2014,Black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fpaulinaduda_0.png?alt=media&token=33cc731c-b97d-4bc5-bf13-59b5a609fa47,1550,#Audi #A8 #2014,5/21/2022,6/19/2022,FALSE,FALSE,paulinaduda,10
22,Poland,Szczecin,paulinaduda_1,BMW,Seria 3,1998,2019,Blue,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fpaulinaduda_1.png?alt=media&token=763bc90f-d2a1-4f15-b729-e128125e36d4,1400,#BMW #2019,5/5/2022,6/6/2022,FALSE,FALSE,paulinaduda,10
23,Poland,Szczecin,abrampiotr_0,Ford,Mustang,5038,2020,green,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fabrampiotr_0.png?alt=media&token=7a8e13b9-a812-4eb3-b319-4003671c0e77,1900,#Ford #Mustang #2020,5/5/2022,6/6/2022,FALSE,FALSE,abrampiotr,11
24,Poland,Szczecin,abrampiotr_1,Mercedes-Benz,Klasa S,4663,2016,Black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fabrampiotr_1.png?alt=media&token=e8fd0db6-8657-4fe0-b000-6a37b2338ec1,3500,#Mercedes-Benz #2016,5/9/2022,7/1/2022,FALSE,FALSE,abrampiotr,11
25,Poland,Szczecin,abrampiotr_2,Tesla,Model 3,brak,2018,grey,Electric,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fabrampiotr_2.png?alt=media&token=0b46bb22-f1b8-4463-a384-c188bdae2e6f,2300,#Tesla #2018,5/3/2022,6/9/2022,FALSE,FALSE,abrampiotr,11
26,Poland,Olsztyn,radekbabecki_0,Ford,Edge,1997,2020,grey,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fradekbabecki_0.png?alt=media&token=4bbc60ff-389f-46dc-aeda-5b118fedc4b7,1750,#Ford #Edge #2020,5/7/2022,6/17/2022,FALSE,FALSE,radekbabecki,12
27,Poland,Olsztyn,radekbabecki_1,Jaguar,F-pace,1997,2018,black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fradekbabecki_1.png?alt=media&token=1d1c8f2c-ce9f-47bf-b639-4bb8d76bbd20,2250,#Jaguar #F-pace #2018,5/9/2022,6/9/2022,FALSE,FALSE,radekbabecki,12
28,Poland,Kamionka,matyldadachowska_0,BMW,Seria 3,1998,2018,White,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmatyldadachowska_0.png?alt=media&token=16f0c442-d073-4ed1-8637-ba45b90b6c33,1600,#BMW #BMW2018 #2018,5/3/2022,6/7/2022,FALSE,FALSE,matyldadachowska,13
29,Poland,Kamionka,matyldadachowska_1,Hyundai,I30,1600,2017,grey,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmatyldadachowska_1.png?alt=media&token=0213d98a-f125-4736-84f8-30087eed00ce,1300,#Hyundai #2017,5/7/2022,6/6/2022,FALSE,FALSE,matyldadachowska,13
30,Poland,Kamionka,matyldadachowska_2,KIA,Ceed,998,2018,Black,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmatyldadachowska_2.png?alt=media&token=53e3601e-65ae-4978-be7b-32ba5ec3bfba,1350,#KIA #Ceed #2018,5/8/2022,6/28/2022,FALSE,FALSE,matyldadachowska,13
31,Poland,Kamionka,matyldadachowska_3,Ford,Fiesta,1100,2016,Blue,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmatyldadachowska_3.png?alt=media&token=0cf0a03a-0e72-4fd4-a024-dde65af5aba6,950,#Ford #Fiesta #Ford2016,5/2/2022,6/2/2022,FALSE,FALSE,matyldadachowska,13
32,Poland,Sochocin,filipedel_0,Toyota,Yaris,1500,2018,White,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Ffilipedel_0.png?alt=media&token=371602c2-6962-4116-bc47-2a96f997233f,1100,#Toyota #Yaris #Toyota2018,5/1/2022,6/1/2022,FALSE,FALSE,filipedel,14
33,Poland,Sochocin,filipedel_1,KIA,Stonic,1200,2018,Blue,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Ffilipedel_1.png?alt=media&token=47adbe8d-c8c1-4bae-8d2e-b4d9af1a3153,1250,#KIA #Stonic #KIA2018,5/2/2022,6/9/2022,FALSE,FALSE,filipedel,14
34,Poland,Kaczory,adamgabor_0,Toyota,Corolla,1800,2019,Red,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fadamgabor_0.png?alt=media&token=4ae8369f-c2a7-4866-9319-5b0851a9e2c9,1300,#Toyota #Corolla #Toyota2019,5/5/2022,6/5/2022,FALSE,FALSE,adamgabor,15
35,Poland,Kaczory,adamgabor_1,Mazda,CX-30,2000,2019,Blue,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fadamgabor_1.png?alt=media&token=7d4f289a-0223-4326-bb7b-676949f70c51,1250,#Mazda #Mazda2019,5/4/2022,6/7/2022,FALSE,FALSE,adamgabor,15
36,Poland,Kaczory,adamgabor_2,Toyota,C-HR,1800,2019,Black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fadamgabor_2.png?alt=media&token=8f512e7e-781e-43db-9320-e8c21ae814d2,1350,#Toyota #Toyota2019,5/1/2022,7/2/2022,FALSE,FALSE,adamgabor,15
37,Poland,Leszno,kfabianowicz_0,Hyundai,Tucson,1600,2019,Blue,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fkfabianowicz_0.png?alt=media&token=cd04d963-b988-4899-8948-ec2bbf4fbd1a,1400,#Hyundai #Hyundai2019,5/6/2022,6/27/2022,FALSE,FALSE,kfabianowicz,16
